acc. date,type,reg.,operator,fat.,location,Unnamed: 6,dmg,Unnamed: 8,Unnamed: 9
2 Jan 1995,Boeing 737-298C,9Q-CNI,Air Zaire,0,Kinshasa-N'Djili Airport (FIH),,w/o,,
2 Jan 1995,Cessna 208 Caravan I,N242SS,Taquan Air Service,0,"Craig, AK",,sub,,
3 Jan 1995,de Havilland Canada DHC-6 Twin Otter 310,P2-IAA,Islands Nationair,0,Bili,,w/o,,
4 Jan 1995,Fokker 50?,,Sudan Airways,0,Port Sudan Airport (PZU),,non,,
5 Jan 1995,Fokker 50,LN-BBA,"Braathens SAFE, lsf Norwegian Air Shuttle",0,Ãlesund-Vigra Airport (AES),,sub,,
5 Jan 1995,Lockheed L-1329-25 JetStar II,1003,Imperial Iranian Air Force - IIAF,12,near Isfahan-Shahid Beheshti Airport (IFN),,w/o,,
6 Jan 1995,McDonnell Douglas MD-88,N981DL,Delta Air Lines,0,"Monroe, LA",,non,,
8 Jan 1995,Cessna 208 Caravan I,VH-MMV,A. McVinish,0,"Toogoolawah Airport, QLD",,sub,,
10 Jan 1995,Rockwell Sabreliner 60,N771WW,Wallace's Bookstore Inc,0,"Lexington-Blue Grass Airport, KY (LEX)",,w/o,,
10 Jan 1995,Douglas DC-9-14,HK-3839X,Intercontinental de AviaciÃ³n,51,near Maria La Baja,,w/o,,
10 Jan 1995,de Havilland Canada DHC-6 Twin Otter 300,PK-NUK,Merpati Nusantara Airlines,14,Molo Strait,,mis,,
10 Jan 1995,McDonnell Douglas DC-9-32,N922VV,Valujet Airlines,0,"Memphis, TN",,sub,,
11 Jan 1995,Cessna S550 Citation S/II,N287MC,Maytag Corporation,0,"Newton Municipal Airport, IA (TNU)",,sub,,
11 Jan 1995,Learjet 35,C-GPUN,Canada JetÂ Charters,5,"15 km NW off Masset Airport, BC (ZMT)",,w/o,,
11 Jan 1995,Cessna 208B Super Cargomaster,N746FE,"Empire Airlines, opf FedEx",1,"2 km SSE of Flagstaff-Pulliam Field, AZ (FLG)",,w/o,,
12 Jan 1995,Cessna 208B Super Cargomaster,N754FE,"West Air, opf Federal Express",1,"Pleasanton, CA",,w/o,,
14 Jan 1995,Yakovlev Yak-40,RA-87565,CHELAL - Chelyabinskie Avialinii,0,Tobolsk Airport (TOX),,sub,,
15 Jan 1995,Swearingen SA226-TC Metro II,N622SP,City Air Cargo,1,"near NeuquÃ©n, NE",,non,,
16 Jan 1995,Antonov An-26,,ForÃ§a AÃ©rea Popular de Angola,6,North Angola,,w/o,,
16 Jan 1995,Boeing 737-281,PK-JHF,Sempati Air Transport,0,Yogyakarta-Adisutjipto Airport (JOG),,w/o,,
17 Jan 1995,de Havilland Canada DHC-6 Twin Otter 300,9N-ABI,Royal Nepal Airlines,2,Kathmandu-Tribhuvan Airport (KTM),,w/o,,
18 Jan 1995,Antonov An-32B,UR-48074,Miabi Air Company,0,Kinshasa-N'Dolo Airport (NLO),,w/o,,
18 Jan 1995,Cessna 208B Super Cargomaster,N9461R,Martinaire,0,"near Lubbock International Airport, TX (LBB)",,sub,,
20 Jan 1995,Let L-410UVP,RA-67120,Abakan Airlines,3,near Krasnoyarsk Airport (KJA),,w/o,,
20 Jan 1995,Dassault Falcon 20E,F-GHLN,Leadair UniJet,10,Paris-Le Bourget Airport (LBG),,w/o,,
21 Jan 1995,Boeing 747-428,CN-RGA,Royal Air Maroc - RAM,0+3,"Montreal (Mirabel) International Airport, Quebec",,unk,,
21 Jan 1995,Tupolev Tu-154B-2,UN-85455,Kazakhstan Airlines,0,Karachi International Airport (KHI),,w/o,,
21 Jan 1995,Airbus A310-324,9V-STZ,Singapore Airlines,0,"27 KM Northeast of Fukue City, Nagasaki Prefecture",,non,,
23 Jan 1995,Let L-410UVP,UR-67115,Air Ukraine,0,"ca 1,3 km from Provedenia Airport (PVX)",,w/o,,
25 Jan 1995,Britten-Norman BN-2A-27Â Islander,C-GSGK,Northway Aviation,0,"Paungassi, MN",,w/o,,
25 Jan 1995,Yakovlev Yak-40,RA-87464,Volga Airlines,0,Rostov Airport (ROV),,w/o,,
25 Jan 1995,Cessna 550Â Citation II,D-CHVB,Viessmann Werke,2,Allendorf,,w/o,,
26 Jan 1995,Antonov An-26B,UN-26080,"GuinÃ©e Air Service, lsf Kazakhstan Airlines",0,Koundara-Sambailo Airport (SBI),,w/o,,
26 Jan 1995,Dornier 228-202K,G-BVTY,City Air Bus,0,London-City Airport (LCY/EGLC),,sub,,
27 Jan 1995,Boeing 737-2H4,N71SW,Southwest Airlines,0,"Dallas, TX",,non,,
28 Jan 1995,Boeing 747-238B,N706CK,Kalitta American International Airways,0,"Detroit-Willow Run Airport, MI (YIP)",,sub,,
28 Jan 1995,Beechcraft 200 Super King Air,D2-ECH,SAL - Sociedade de AviaÃ§ao Ligeira,2,near Cafunfo Airport (CFF),,w/o,,
29 Jan 1995,McDonnell Douglas DC-8-62AF,N791AL,Arrow Air,0,"Manaus-Eduardo Gomes International Airport, AM (MAO)",,sub,,
30 Jan 1995,ATR 72-202,B-22717,TransAsia Airways,4,20 km SSE of Taipei-Songshan Airport (TSA),,w/o,,
