accident_date,aircraft_type,registration,operator,fatalities,location,damage_type
1995-01-02,Boeing 737-298C,9Q-CNI,Air Zaire,0,Kinshasa-N'Djili Airport (FIH),Write-Off
1995-01-02,Cessna 208 Caravan I,N242SS,Taquan Air Service,0,"Craig, AK",Substantial
1995-01-03,de Havilland Canada DHC-6 Twin Otter 310,P2-IAA,Islands Nationair,0,Bili,Write-Off
1995-01-04,Fokker 50?,,Sudan Airways,0,Port Sudan Airport (PZU),None (No Damage)
1995-01-05,Fokker 50,LN-BBA,"Braathens SAFE, lsf Norwegian Air Shuttle",0,Ãlesund-Vigra Airport (AES),Substantial
1995-01-05,Lockheed L-1329-25 JetStar II,1003,Imperial Iranian Air Force - IIAF,12,near Isfahan-Shahid Beheshti Airport (IFN),Write-Off
1995-01-06,McDonnell Douglas MD-88,N981DL,Delta Air Lines,0,"Monroe, LA",None (No Damage)
1995-01-08,Cessna 208 Caravan I,VH-MMV,A. McVinish,0,"Toogoolawah Airport, QLD",Substantial
1995-01-10,Rockwell Sabreliner 60,N771WW,Wallace's Bookstore Inc,0,"Lexington-Blue Grass Airport, KY (LEX)",Write-Off
1995-01-10,Douglas DC-9-14,HK-3839X,Intercontinental de AviaciÃ³n,51,near Maria La Baja,Write-Off
1995-01-10,de Havilland Canada DHC-6 Twin Otter 300,PK-NUK,Merpati Nusantara Airlines,14,Molo Strait,Aircraft Missing
1995-01-10,McDonnell Douglas DC-9-32,N922VV,Valujet Airlines,0,"Memphis, TN",Substantial
1995-01-11,Cessna S550 Citation S/II,N287MC,Maytag Corporation,0,"Newton Municipal Airport, IA (TNU)",Substantial
1995-01-11,Learjet 35,C-GPUN,Canada JetÂ Charters,5,"15 km NW off Masset Airport, BC (ZMT)",Write-Off
1995-01-11,Cessna 208B Super Cargomaster,N746FE,"Empire Airlines, opf FedEx",1,"2 km SSE of Flagstaff-Pulliam Field, AZ (FLG)",Write-Off
1995-01-12,Cessna 208B Super Cargomaster,N754FE,"West Air, opf Federal Express",1,"Pleasanton, CA",Write-Off
1995-01-14,Yakovlev Yak-40,RA-87565,CHELAL - Chelyabinskie Avialinii,0,Tobolsk Airport (TOX),Substantial
1995-01-15,Swearingen SA226-TC Metro II,N622SP,City Air Cargo,1,"near NeuquÃ©n, NE",None (No Damage)
1995-01-16,Antonov An-26,,ForÃ§a AÃ©rea Popular de Angola,6,North Angola,Write-Off
1995-01-16,Boeing 737-281,PK-JHF,Sempati Air Transport,0,Yogyakarta-Adisutjipto Airport (JOG),Write-Off
1995-01-17,de Havilland Canada DHC-6 Twin Otter 300,9N-ABI,Royal Nepal Airlines,2,Kathmandu-Tribhuvan Airport (KTM),Write-Off
1995-01-18,Antonov An-32B,UR-48074,Miabi Air Company,0,Kinshasa-N'Dolo Airport (NLO),Write-Off
1995-01-18,Cessna 208B Super Cargomaster,N9461R,Martinaire,0,"near Lubbock International Airport, TX (LBB)",Substantial
1995-01-20,Let L-410UVP,RA-67120,Abakan Airlines,3,near Krasnoyarsk Airport (KJA),Write-Off
1995-01-20,Dassault Falcon 20E,F-GHLN,Leadair UniJet,10,Paris-Le Bourget Airport (LBG),Write-Off
1995-01-21,Boeing 747-428,CN-RGA,Royal Air Maroc - RAM,0+3,"Montreal (Mirabel) International Airport, Quebec",Unknown
1995-01-21,Tupolev Tu-154B-2,UN-85455,Kazakhstan Airlines,0,Karachi International Airport (KHI),Write-Off
1995-01-21,Airbus A310-324,9V-STZ,Singapore Airlines,0,"27 KM Northeast of Fukue City, Nagasaki Prefecture",None (No Damage)
1995-01-23,Let L-410UVP,UR-67115,Air Ukraine,0,"ca 1,3 km from Provedenia Airport (PVX)",Write-Off
